date,ticker,sentiment_score
2018-01-01,AAPL,-0.05
2018-01-02,AAPL,0.06
2018-01-03,AAPL,0.0
2018-01-04,AAPL,0.0
2018-01-05,AAPL,-0.01
2018-01-06,AAPL,-0.05
2018-01-07,AAPL,0.0
2018-01-08,AAPL,-0.06
2018-01-09,AAPL,0.09
2018-01-10,AAPL,0.02
2018-01-11,AAPL,0.12
2018-01-12,AAPL,0.0
2018-01-13,AAPL,0.06
2018-01-14,AAPL,0.11
2018-01-15,AAPL,0.08
2018-01-16,AAPL,0.15
2018-01-17,AAPL,0.2
2018-01-18,AAPL,0.3
2018-01-19,AAPL,0.16
2018-01-20,AAPL,0.2
2018-01-21,AAPL,0.29
2018-01-22,AAPL,0.0
2018-01-23,AAPL,-0.09
2018-01-24,AAPL,-0.18
2018-01-25,AAPL,-0.16
2018-01-26,AAPL,-0.27
2018-01-27,AAPL,-0.34
2018-01-28,AAPL,-0.26
2018-01-29,AAPL,0.0
2018-01-30,AAPL,0.07
2018-01-31,AAPL,0.07
2018-02-01,AAPL,0.15
2018-02-02,AAPL,0.3
2018-02-03,AAPL,0.34
2018-02-04,AAPL,0.31
2018-02-05,AAPL,0.45
2018-02-06,AAPL,0.0
2018-02-07,AAPL,0.09
2018-02-08,AAPL,0.22
2018-02-09,AAPL,0.29
2018-02-10,AAPL,0.29
2018-02-11,AAPL,0.43
2018-02-12,AAPL,0.56
2018-02-13,AAPL,0.0
2018-02-14,AAPL,0.03
2018-02-15,AAPL,-0.04
2018-02-16,AAPL,-0.03
2018-02-17,AAPL,0.0
2018-02-18,AAPL,0.04
2018-02-19,AAPL,-0.1
2018-02-20,AAPL,-0.07
2018-02-21,AAPL,-0.18
2018-02-22,AAPL,-0.3
2018-02-23,AAPL,0.0
2018-02-24,AAPL,-0.08
2018-02-25,AAPL,-0.05
2018-02-26,AAPL,-0.19
2018-02-27,AAPL,-0.32
2018-02-28,AAPL,-0.45
2018-03-01,AAPL,-0.56
2018-03-02,AAPL,-0.65
2018-03-03,AAPL,-0.62
2018-03-04,AAPL,-0.47
2018-03-05,AAPL,-0.52
2018-03-06,AAPL,-0.58
2018-03-07,AAPL,-0.44
2018-03-08,AAPL,-0.45
2018-03-09,AAPL,-0.54
2018-03-10,AAPL,-0.5
2018-03-11,AAPL,-0.4
2018-03-12,AAPL,-0.33
2018-03-13,AAPL,-0.23
2018-03-14,AAPL,-0.28
2018-03-15,AAPL,-0.26
2018-03-16,AAPL,-0.19
2018-03-17,AAPL,-0.19
2018-03-18,AAPL,-0.32
2018-03-19,AAPL,-0.35
2018-03-20,AAPL,-0.24
2018-03-21,AAPL,-0.16
2018-03-22,AAPL,-0.02
2018-03-23,AAPL,-0.02
2018-03-24,AAPL,0.12
2018-03-25,AAPL,0.12
2018-03-26,AAPL,0.15
2018-03-27,AAPL,0.27
2018-03-28,AAPL,0.13
2018-03-29,AAPL,0.02
2018-03-30,AAPL,0.14
2018-03-31,AAPL,0.04
